# This is Supplementary Table 2 with some extra information from https://cgl.gi.ucsc.edu/data/cactus/Zoonomia-Supplemental-tables.xlsx,,,,,,,,
Order,Family,Species,Common Name,label,Source,Accession,IUCN,Echolocating
EULIPOTYPHLA,Talpidae,Uropsilus gracilis,Gracile shrew-like mole,Uropsilus_gracilis,1. Zoonomia,GCA_004024945.1,LC,N
HYRACOIDEA,Procaviidae,Heterohyrax brucei,African yellow-spotted rock hyrax,Heterohyrax_brucei,1. Zoonomia,GCA_004026845.1,LC,N
HYRACOIDEA,Procaviidae,Procavia capensis,South African rock hyrax,Procavia_capensis,1. Zoonomia,GCA_004026925.1,LC,N
LAGOMORPHA,Leporidae,Lepus americanus,Snowshoe hare,Lepus_americanus,1. Zoonomia,GCA_004026855.1,LC,N
LAGOMORPHA,Leporidae,Oryctolagus cuniculus,Rabbit,Oryctolagus_cuniculus,2. Existing assembly,GCF_000003625.3,NT,N
LAGOMORPHA,Ochotonidae,Ochotona princeps,American pika,Ochotona_princeps,2. Existing assembly,GCF_000292845.1,LC,N
MACROSCELIDEA,Macroscelididae,Elephantulus edwardii,Cape elephant shrew,Elephantulus_edwardii,1. Zoonomia,GCA_004027355.1,LC,N
PERISSODACTYLA,Equidae,Equus asinus,Ass,Equus_asinus,2. Existing assembly,GCF_001305755.1,LC,N
PERISSODACTYLA,Equidae,Equus caballus,Horse,Equus_caballus,2. Existing assembly,GCF_000002305.2,LC,N
PERISSODACTYLA,Equidae,Equus przewalskii,Przewalski's horse,Equus_przewalskii,2. Existing assembly,GCF_000696695.1,EN,N
PERISSODACTYLA,Rhinocerotidae,Ceratotherium simum,Southern white rhinoceros,Ceratotherium_simum,2. Existing assembly,GCF_000283155.1,NT,N
PERISSODACTYLA,Rhinocerotidae,Ceratotherium simum cottoni,Northern white rhino,Ceratotherium_simum_cottoni,1. Zoonomia,GCA_004027795.1,CR,N
PERISSODACTYLA,Rhinocerotidae,Dicerorhinus sumatrensis,Sumatran rhinoceros,Dicerorhinus_sumatrensis,2. Existing assembly,GCA_002844835.1,CR,N
PERISSODACTYLA,Rhinocerotidae,Diceros bicornis,Black rhinocerous,Diceros_bicornis,1. Zoonomia,GCA_004027315.1,CR,N
PERISSODACTYLA,Tapiridae,Tapirus indicus,Malayan tapir,Tapirus_indicus,1. Zoonomia,GCA_004024905.1,EN,N
PERISSODACTYLA,Tapiridae,Tapirus terrestris,South American tapir,Tapirus_terrestris,1. Zoonomia,GCA_004025025.1,VU,N
PHOLIDOTA,Manidae,Manis javanica,Malayan pangolin,Manis_javanica,2. Existing assembly,GCF_001685135.1,CR,N
PHOLIDOTA,Manidae,Manis pentadactyla,Chinese pangolin,Manis_pentadactyla,2. Existing assembly,GCA_000738955.1,CR,N
PILOSA,Megalonychidae,Choloepus didactylus,Linnaeus's two toed sloth,Choloepus_didactylus,1. Zoonomia,GCA_004027855.1,LC,N
PILOSA,Megalonychidae,Choloepus hoffmanni,Hoffmann's two-fingered sloth,Choloepus_hoffmanni,2. Existing assembly,GCA_000164785.2,LC,N
PILOSA,Myrmecophagidae,Myrmecophaga tridactyla,Giant anteater,Myrmecophaga_tridactyla,1. Zoonomia,GCA_004026745.1,VU,N
PILOSA,Myrmecophagidae,Tamandua tetradactyla,Southern tamandua,Tamandua_tetradactyla,1. Zoonomia,GCA_004025105.1,LC,N
PRIMATES,Aotidae,Aotus nancymaae,Ma's night monkey,Aotus_nancymaae,2. Existing assembly,GCA_000952055.2,VU,N
PRIMATES,Atelidae,Alouatta palliata mexicana,Mexican howler monkey,Alouatta_palliata_mexicana,1. Zoonomia,GCA_004027835.1,CR,N
PRIMATES,Atelidae,Ateles geoffroyi,Geoffroy's spider monkey,Ateles_geoffroyi,1. Zoonomia,GCA_004024785.1,EN,N
PRIMATES,Cebidae,Callithrix jacchus,White-tufted-ear marmoset,Callithrix_jacchus,2. Existing assembly,GCA_002754865.1,LC,N
PRIMATES,Cebidae,Cebus albifrons,White-fronted capuchin,Cebus_albifrons,1. Zoonomia,GCA_004027755.1,LC,N
PRIMATES,Cebidae,Cebus capucinus,White-faced sapajou,Cebus_capucinus,2. Existing assembly,GCF_001604975.1,LC,N
PRIMATES,Cebidae,Saguinus imperator,Emperor tamarin,Saguinus_imperator,1. Zoonomia,GCA_004024885.1,LC,N
PRIMATES,Cebidae,Saimiri boliviensis,Bolivian squirrel monkey,Saimiri_boliviensis,2. Existing assembly,GCF_000235385.1,LC,N
PRIMATES,Cercopithecidae,Cercocebus atys,Sooty mangabey,Cercocebus_atys,2. Existing assembly,GCF_000955945.1,NT,N
PRIMATES,Cercopithecidae,Cercopithecus neglectus,De brazza's monkey,Cercopithecus_neglectus,1. Zoonomia,GCA_004027615.1,LC,N
PRIMATES,Cercopithecidae,Chlorocebus sabaeus,Green monkey,Chlorocebus_sabaeus,2. Existing assembly,GCF_000409795.2,LC,N
PRIMATES,Cercopithecidae,Colobus angolensis,Angolan colobus,Colobus_angolensis,2. Existing assembly,GCF_000951035.1,VU,N
PRIMATES,Cercopithecidae,Erythrocebus patas,Patas monkey,Erythrocebus_patas,1. Zoonomia,GCA_004027335.1,LC,N
PRIMATES,Cercopithecidae,Macaca fascicularis,Crab-eating macaque,Macaca_fascicularis,2. Existing assembly,GCF_000364345.1,DD,N
PRIMATES,Cercopithecidae,Macaca mulatta,Rhesus monkey,Macaca_mulatta,2. Existing assembly,GCF_000772875.2,LC,N
PRIMATES,Cercopithecidae,Macaca nemestrina,Pig-tailed macaque,Macaca_nemestrina,2. Existing assembly,GCF_000956065.1,VU,N
PRIMATES,Cercopithecidae,Mandrillus leucophaeus,Drill,Mandrillus_leucophaeus,2. Existing assembly,GCF_000951045.1,EN,N
PRIMATES,Cercopithecidae,Nasalis larvatus,Proboscis monkey,Nasalis_larvatus,1. Zoonomia,GCA_004027105.1,EN,N
PRIMATES,Cercopithecidae,Papio anubis,Olive baboon,Papio_anubis,2. Existing assembly,GCA_000264685.2,LC,N
PRIMATES,Cercopithecidae,Piliocolobus tephrosceles,Ugandan red colobus,Piliocolobus_tephrosceles,2. Existing assembly,GCA_002776525.1,EN,N
PRIMATES,Cercopithecidae,Pygathrix nemaeus,Red-shanked douc,Pygathrix_nemaeus,1. Zoonomia,GCA_004024825.1,EN,N
PRIMATES,Cercopithecidae,Rhinopithecus bieti,Black snub-nosed monkey,Rhinopithecus_bieti,2. Existing assembly,GCF_001698545.1,EN,N
PRIMATES,Cercopithecidae,Rhinopithecus roxellana,Golden snub-nosed monkey,Rhinopithecus_roxellana,2. Existing assembly,GCF_000769185.1,EN,N
PRIMATES,Cercopithecidae,Semnopithecus entellus,Northern Plains gray langur,Semnopithecus_entellus,1. Zoonomia,GCA_004025065.1,LC,N
PRIMATES,Cheirogaleidae,Cheirogaleus medius,Fat-tailed dwarf lemur,Cheirogaleus_medius,1. Zoonomia,GCA_004024725.1,LC,N
PRIMATES,Cheirogaleidae,Microcebus murinus,Gray mouse lemur,Microcebus_murinus,2. Existing assembly,GCA_000165445.3,LC,N
PRIMATES,Cheirogaleidae,Mirza coquereli,Coquerel's giant mouse lemur,Mirza_coquereli,1. Zoonomia,GCA_004024645.1,EN,N
PRIMATES,Daubentoniidae,Daubentonia madagascariensis,Aye-aye,Daubentonia_madagascariensis,1. Zoonomia,GCA_004027145.1,EN,N
PRIMATES,Galagidae,Otolemur garnettii,Small-eared galago,Otolemur_garnettii,2. Existing assembly,GCF_000181295.1,LC,N
PRIMATES,Hominidae,Gorilla gorilla,Western lowland gorilla,Gorilla_gorilla,2. Existing assembly,GCA_900006655.3,CR,N
PRIMATES,Hominidae,Homo sapiens,Human,Homo_sapiens,2. Existing assembly,GCA_000001405.27,LC,N
PRIMATES,Hominidae,Pan paniscus,Pygmy chimpanzee,Pan_paniscus,2. Existing assembly,GCF_000258655.2,EN,N
PRIMATES,Hominidae,Pan troglodytes,Chimpanzee,Pan_troglodytes,2. Existing assembly,GCA_002880755.3,EN,N
PRIMATES,Hominidae,Pongo abelii,Sumatran orangutan,Pongo_abelii,2. Existing assembly,GCA_002880775.3,CR,N
PRIMATES,Hylobatidae,Nomascus leucogenys,Northern white-cheeked gibbon,Nomascus_leucogenys,2. Existing assembly,GCF_000146795.2,CR,N
PRIMATES,Indridae,Indri indri,Indri,Indri_indri,1. Zoonomia,GCA_004363605.1,CR,N
PRIMATES,Indridae,Propithecus coquereli,Coquerel's sifaka,Propithecus_coquereli,2. Existing assembly,GCF_000956105.1,EN,N
PRIMATES,Lemuridae,Eulemur flavifrons,Sclater's lemur,Eulemur_flavifrons,2. Existing assembly,GCA_001262665.1,CR,N
PRIMATES,Lemuridae,Eulemur fulvus,Common brown lemur,Eulemur_fulvus,1. Zoonomia,GCA_004027275.1,NT,N
PRIMATES,Lemuridae,Lemur catta,Ring tailed lemur,Lemur_catta,1. Zoonomia,GCA_004024665.1,EN,N
PRIMATES,Lorisidae,Nycticebus coucang,Sunda slow loris,Nycticebus_coucang,1. Zoonomia,GCA_004027815.1,VU,N
PRIMATES,Pitheciidae,Callicebus donacophilus,White-eared titi,Callicebus_donacophilus,1. Zoonomia,GCA_004027715.1,LC,N
PRIMATES,Pitheciidae,Pithecia pithecia,White-faced saki,Pithecia_pithecia,1. Zoonomia,GCA_004026645.1,LC,N
PROBOSCIDEA,Elephantidae,Loxodonta Africana,African savanna elephant,Loxodonta_Africana,2. Existing assembly,GCF_000001905.1,VU,N
RODENTIA,Aplodontiidae,Aplodontia rufa,Mountain beaver,Aplodontia_rufa,1. Zoonomia,GCA_004027875.1,LC,N
RODENTIA,Bathyergidae,Fukomys damarensis,Damara mole-rat,Fukomys_damarensis,2. Existing assembly,GCF_000743615.1,LC,N
RODENTIA,Bathyergidae,Heterocephalus glaber,Naked mole-rat,Heterocephalus_glaber,2. Existing assembly,GCF_000247695.1,LC,N
RODENTIA,Capromyidae,Capromys pilorides,Desmarest's hutia,Capromys_pilorides,1. Zoonomia,GCA_004027915.1,LC,N
RODENTIA,Castoridae,Castor canadensis,North American beaver,Castor_canadensis,1. Zoonomia,GCA_004027675.1,LC,N
RODENTIA,Caviidae,Cavia aperea,Brazilian guinea pig,Cavia_aperea,2. Existing assembly,GCA_000688575.1,LC,N
RODENTIA,Caviidae,Cavia porcellus,Domestic guinea pig,Cavia_porcellus,2. Existing assembly,GCF_000151735.1,LC,N
RODENTIA,Caviidae,Cavia tschudii,Montane guinea pig,Cavia_tschudii,1. Zoonomia,GCA_004027695.1,LC,N
RODENTIA,Caviidae,Dolichotis patagonum,Patagonian mara,Dolichotis_patagonum,1. Zoonomia,GCA_004027295.1,NT,N
